seed,episode,total_steps,reward,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,episode_length,epsilon,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg
1,1,20,7.57742840051651,0.3484390377998352,0.3957824110984802,0.3126797080039978,0.3957824110984802,nan,nan,nan,20,1.0,nan,nan,nan,nan
1,2,32,-0.20411813259124756,0.36123648285865784,0.4493355453014374,0.3199467658996582,0.4493355453014374,nan,nan,nan,12,1.0,nan,nan,nan,nan
1,3,51,5.857763886451721,0.3503916263580322,0.40552571415901184,0.31307366490364075,0.40552571415901184,nan,nan,nan,19,1.0,nan,nan,nan,nan
1,4,64,0.9176788926124573,0.3643370270729065,0.3857889473438263,0.32938921451568604,0.3857889473438263,nan,nan,nan,13,1.0,nan,nan,nan,nan
1,5,92,15.95713609457016,0.35436826944351196,0.428571492433548,0.314960777759552,0.428571492433548,nan,nan,nan,28,1.0,nan,nan,nan,nan
1,6,118,12.132165670394897,0.34888771176338196,0.40753480792045593,0.31135374307632446,0.40753480792045593,nan,nan,nan,26,1.0,nan,nan,nan,nan
1,7,159,27.632670402526855,0.3541027307510376,0.40399616956710815,0.3171467185020447,0.40399616956710815,nan,nan,nan,41,1.0,nan,nan,nan,nan
1,8,185,13.67121160030365,0.35033589601516724,0.40609121322631836,0.31338244676589966,0.40609121322631836,nan,nan,nan,26,1.0,nan,nan,nan,nan
1,9,199,1.719406008720398,0.3481161892414093,0.3929005563259125,0.3121650516986847,0.3929005563259125,nan,nan,nan,14,1.0,nan,nan,nan,nan
1,10,217,5.446359217166901,0.35897746682167053,0.39536526799201965,0.32295000553131104,0.39536526799201965,nan,nan,nan,18,0.918316468354365,nan,nan,nan,nan
1,11,232,2.127552092075348,0.35452210903167725,0.3998236358165741,0.3178337514400482,0.3998236358165741,nan,nan,nan,15,0.851801859600347,nan,nan,nan,nan
1,12,243,-1.0684537887573242,0.36177584528923035,0.44585326313972473,0.3208417594432831,0.44585326313972473,nan,nan,nan,11,0.8061065909263957,nan,nan,nan,nan
1,13,261,5.542478024959564,0.35369816422462463,0.39685869216918945,0.3174634575843811,0.39685869216918945,nan,nan,nan,18,0.736559652908221,nan,nan,nan,nan
1,14,272,-0.8382678031921387,0.3577292561531067,0.3835378885269165,0.3229706883430481,0.3835378885269165,nan,nan,5.6862292170524595,11,0.697046600835495,nan,nan,nan,nan
1,15,299,13.718066573143005,0.35066449642181396,0.3953591585159302,0.31506192684173584,0.3953591585159302,nan,nan,4.855498528480529,27,0.6088145090359074,nan,nan,nan,nan
1,16,340,27.263735830783844,0.35019850730895996,0.4106947183609009,0.31262147426605225,0.4106947183609009,nan,nan,3.8933873921632767,41,0.49571413690105054,nan,nan,nan,nan
1,17,354,2.140918493270874,0.3509531319141388,0.38544538617134094,0.3159288763999939,0.38544538617134094,nan,nan,3.305076164007187,14,0.46211964903917074,nan,nan,nan,nan
1,18,364,-1.720413625240326,0.3688431680202484,0.49179941415786743,0.32291799783706665,0.49179941415786743,nan,nan,3.430983304977417,10,0.43952667968844233,nan,nan,nan,nan
1,19,376,0.08435797691345215,0.35642310976982117,0.44142505526542664,0.3157860338687897,0.44142505526542664,nan,nan,2.98548219203949,12,0.41386834584198684,nan,nan,nan,nan
1,20,408,16.423444211483,0.3354078531265259,0.42533716559410095,0.2958558201789856,0.42533716559410095,nan,nan,2.439870510498683,32,0.35253382661792404,nan,nan,nan,nan
1,21,418,-1.7947983741760254,0.34638622403144836,0.3710852563381195,0.3128022849559784,0.3710852563381195,nan,nan,1.941727989912033,10,0.3352984938281715,nan,nan,nan,nan
1,22,428,-1.9767648577690125,0.3535245358943939,0.44590315222740173,0.31254997849464417,0.44590315222740173,nan,nan,2.0190422177314757,10,0.31890579420988907,nan,nan,nan,nan
1,23,438,-1.6223556399345398,0.3579619526863098,0.47533708810806274,0.3136829733848572,0.47533708810806274,nan,nan,1.6437659204006194,10,0.3033145315372582,nan,nan,nan,nan
1,24,938,491.3528056740761,0.3480519950389862,0.39387720823287964,0.31225714087486267,0.39387720823287964,nan,nan,0.32196352230384945,500,0.024741930939380097,nan,nan,nan,nan
1,25,1438,496.5968500971794,0.34987202286720276,0.3978021442890167,0.3136897683143616,0.3978021442890167,nan,nan,0.12696830742619933,500,0.01,nan,nan,nan,nan
1,26,1636,169.23639345169067,0.34726035594940186,0.39748334884643555,0.3109278082847595,0.39748334884643555,nan,nan,0.2539035545024825,198,0.01,nan,nan,nan,nan
