seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg
1,1,55,-102.82629775069654,55,nan,nan,0,55,0,nan,nan,nan
1,2,1655,-81.17089911096264,1600,nan,nan,0,1655,0,nan,nan,nan
1,3,3255,-90.55625731492182,1600,nan,nan,0,3255,0,nan,nan,nan
1,4,3330,-96.6986011043191,75,nan,nan,0,3330,0,nan,nan,nan
1,5,4930,-78.27528614428593,1600,nan,nan,0,4930,0,nan,nan,nan
1,6,5037,-98.07833778858185,107,nan,nan,0,5037,0,nan,nan,nan
1,7,5109,-100.31593102868646,72,nan,nan,0,5109,0,nan,nan,nan
1,8,5196,-109.85954670142382,87,nan,nan,0,5196,0,nan,nan,nan
1,9,5256,-112.1329510062933,60,nan,nan,0,5256,0,nan,nan,nan
1,10,5319,-111.9113848246634,63,nan,nan,0,5319,0,nan,nan,nan
1,11,6919,-85.66024655126967,1600,nan,nan,0,6919,0,nan,nan,nan
1,12,7014,-106.44906882569194,95,nan,nan,0,7014,0,nan,nan,nan
1,13,7142,-99.95282046543434,128,nan,nan,0,7142,0,nan,nan,nan
1,14,7232,-97.54075109492987,90,nan,nan,0,7232,0,nan,nan,nan
1,15,7342,-102.86634769570082,110,nan,nan,0,7342,0,nan,nan,nan
1,16,7408,-100.11587440036237,66,nan,nan,0,7408,0,nan,nan,nan
1,17,7498,-100.46427077520639,90,nan,nan,0,7498,0,nan,nan,nan
1,18,7658,-121.96468242444098,160,nan,nan,0,7658,0,nan,nan,nan
1,19,7754,-122.07092252653092,96,nan,nan,0,7754,0,nan,nan,nan
1,20,7851,-103.81470024073496,97,nan,nan,0,7851,0,nan,nan,nan
1,21,9451,-83.28791000589263,1600,nan,nan,0,9451,0,nan,nan,nan
1,22,9518,-100.69780445750803,67,nan,nan,0,9518,0,nan,nan,nan
1,23,9583,-101.28967557474971,65,nan,nan,0,9583,0,nan,nan,nan
1,24,9656,-101.26980378106236,73,nan,nan,0,9656,0,nan,nan,nan
1,25,11256,-116.5049284636043,1600,17.272052351696903,nan,0,11256,0,-0.28114546937202767,-0.2806407131964252,-0.4118589511702931
1,26,11357,-113.07700588740408,101,52.100536623448136,0.1808851631343827,1,11357,15360,-0.5613164080912247,-0.5684308795258403,-0.7353607308864594
1,27,11519,-115.55675826687366,162,58.85470133908093,0.11774638669960427,1,11519,30720,-0.7494934169575572,-0.7448529220884665,-1.0043753447942436
1,28,11788,-126.44341641152278,269,60.33106896785589,0.08617796954331976,1,11788,46080,-1.2399269131513742,-1.2485048569165744,-1.4306994463388736
1,29,11872,-116.64201216958463,84,65.51212947517634,0.0787507035702035,1,11872,61440,-1.4440147064626216,-1.4669874034821988,-1.6813993439078332
1,30,11919,-117.77730090916157,47,63.54420418739319,0.07636903171306071,1,11919,76800,-1.5667970284819603,-1.5890027165412903,-1.7442120373249055
1,31,11995,-117.39916518516839,76,61.641029603140694,0.07475201720776765,1,11995,92160,-1.6685731896332332,-1.6811840951442718,-1.770526431288038
1,32,12129,-125.66872895695269,134,64.37915254189419,0.07340905211757923,1,12129,107520,-1.8506982390697186,-1.8741068234810463,-1.9913424647771396
1,33,12201,-100.3053113501519,72,49.286622054236275,0.07212914528576195,1,12201,122880,-1.7543456605502536,-1.7474061965942382,-1.8677736120564596
1,34,12304,-112.8013861272484,103,52.25795744895935,0.0711124487802492,1,12304,138240,-1.9291331666707991,-1.9397347176074982,-2.0489670729637144
1,35,12348,-125.12231539189816,44,55.74029871225357,0.0700565427231292,1,12348,153600,-2.1745925426483153,-2.177060753107071,-2.265301412343979
1,36,12397,-120.47656588256359,49,55.034620916843416,0.06937176498274009,1,12397,168960,-2.269762635231018,-2.2823004156351088,-2.4319746136665343
1,37,12448,-123.49658961594105,51,50.31413558006287,0.06867181038380497,1,12448,184320,-2.393158459663391,-2.3821609687805174,-2.406769154071808
1,38,12620,-120.52747794426978,172,43.132433889893925,0.06806533287486269,1,12620,199680,-2.3485231634448556,-2.348289001338622,-2.427026300570544
1,39,12694,-111.00229799002409,74,44.63318898337228,0.06696558702661067,1,12694,215040,-2.797783008643559,-2.8042942251477925,-2.870683450358255
1,40,12770,-112.28691364545375,76,40.51913527079991,0.06657647880769911,2,12770,245760,-2.9154626148087637,-2.9241560901914325,-2.9489770548684255
1,41,12853,-105.93929671309888,83,39.44076290726662,0.06612138874372657,2,12853,276480,-2.972964438796043,-2.9825378492474557,-3.0287281930446626
1,42,12899,-124.3268204703927,46,40.03116672039032,0.06568896905084451,2,12899,307200,-3.392855280637741,-3.3761271476745605,-3.4195400714874267
1,43,12945,-124.75731581263244,46,39.422458338737485,0.06528341107070446,2,12945,337920,-3.315303471684456,-3.317050355672836,-3.283740609884262
1,44,12993,-124.47081474401057,48,37.600266301631926,0.06490558154384295,2,12993,368640,-3.545718625187874,-3.5488371521234514,-3.62170957326889
1,45,13040,-124.9117963835597,47,38.803314769268034,0.06455579056342443,2,13040,399360,-3.6432083547115326,-3.6527433812618257,-3.653292143344879
1,46,13133,-124.06421643681824,93,33.47393309805128,0.0641733442246914,2,13133,430080,-3.7090557641453215,-3.701608063115014,-3.734180270300971
1,47,14733,-106.43076149979606,1600,18.50389463532716,0.063669782652964,2,14733,460800,-3.3141391285602,-3.31557619179599,-3.3574090832239016
1,48,14869,-96.70512663014233,136,13.08551762012335,0.05921613162285403,2,14869,491520,-3.144712005211757,-3.1400574931731593,-3.177444922007047
1,49,14964,-115.86833144165576,95,12.983879227108426,0.058390891329310406,2,14964,522240,-2.920764077372021,-2.916978660557005,-2.95205603937308
1,50,15025,-111.82833662489429,61,15.748350544770558,0.057852772370665925,2,15025,552960,-3.202485118309657,-3.2031429102023443,-3.242804926633835
1,51,15103,-114.72151433629915,78,14.438809331825802,0.057511285534021496,2,15103,583680,-3.1879277638026644,-3.1824128653321946,-3.2390322966235026
1,52,15179,-104.35419979132712,76,12.214935779571533,0.057201750096918524,2,15179,614400,-2.9942419895104,-3.005016050168446,-3.043093412263053
1,53,15235,-110.60026765568182,56,13.781386706829071,0.05685725032357173,2,15235,645120,-3.222891809940338,-3.204965494275093,-3.235481395125389
1,54,15330,-115.52401154581457,95,11.891934349801804,0.056570913916253775,2,15330,675840,-3.0065751403570173,-3.00346685482396,-3.0442316962613
1,55,15363,-106.67436647601426,33,10.02414976755778,0.05621803519079241,2,15363,706560,-2.7774505356947583,-2.7717646956443787,-2.815481436252594
1,56,15395,-107.07556316442788,32,10.998384888966878,0.055932123851444984,2,15395,737280,-3.24598601659139,-3.2433695157368976,-3.2704323212305706
1,57,15424,-106.08674360113218,29,14.306197518110276,0.05563931410511335,2,15424,768000,-3.757431310415268,-3.691977310180664,-3.771066725254059
1,58,15453,-106.01716060563922,29,12.342823877930641,0.055350599115093546,2,15453,798720,-3.3294249355792997,-3.3185078680515288,-3.336559772491455
1,59,15483,-106.49290925671812,30,13.779245392481487,0.05506564465247923,2,15483,829440,-3.1039284904797872,-3.10705667535464,-3.1274956663449607
1,60,15558,-114.97929484164342,75,10.885624597753797,0.05475170084585746,3,15558,875520,-3.0930500032646315,-3.1037196014608655,-3.139167064854077
1,61,15588,-106.23887516744435,30,13.274107865492503,0.05445373288459248,3,15588,921600,-2.9740613475441933,-2.983096119761467,-3.0599610408147178
1,62,15665,-115.7256086091511,77,11.430274499314171,0.054144858171542486,3,15665,967680,-3.06774031072855,-3.073438158631325,-3.0945492082408497
1,63,15694,-105.99808724829927,29,11.787292283773422,0.05372169087411927,3,15694,1000000,-3.4066012620925905,-3.3873310506343843,-3.469512736797333
1,64,15732,-110.17577268183231,38,13.807656228542328,0.053412084228516926,3,15732,1000000,-3.72866051197052,-3.742914688587189,-3.7409538904825848
1,65,15775,-110.68563157133758,43,13.18234783411026,0.0531206384993316,3,15775,1000000,-3.494989800453186,-3.488732744753361,-3.522906431555748
1,66,15818,-110.93816580693237,43,11.761268356442452,0.05273803238823114,3,15818,1000000,-3.6168813824653627,-3.607573887705803,-3.655270144343376
1,67,15855,-109.16917611000827,37,15.434369218349456,0.0524051808920063,3,15855,1000000,-3.9042559385299684,-3.9302857001622518,-3.9786450187365214
1,68,15887,-106.65563503000885,32,11.685178744792939,0.05205878973658619,3,15887,1000000,-3.063200664520264,-3.0305959656834602,-3.0713321050008138
1,69,15935,-111.03765531349927,48,13.678164266049862,0.05177652070759445,3,15935,1000000,-3.40384418964386,-3.441145159304142,-3.45208185762167
1,70,16315,-130.41989818867296,380,13.132388481497765,0.051430900563155454,3,16315,1000000,-3.3274664486709393,-3.331763862112635,-3.371699099556396
1,71,16452,-113.19828944094479,137,13.874871732179935,0.050905371946159496,3,16452,1000000,-3.102581566342941,-3.1009515977822817,-3.1378935873508453
1,72,16945,-135.60152043575363,493,12.658576352498969,0.05054795299268638,3,16945,1000000,-2.6528034263423512,-2.657032125656094,-2.7029882909387957
1,73,16988,-110.78919468820095,43,11.777681151032448,0.049621833484582226,3,16988,1000000,-2.315937487408519,-2.3310228761285545,-2.357090085744858
1,74,17024,-108.73462193273008,36,10.900747442245484,0.049320707443838166,3,17024,1000000,-1.9727844506502152,-1.9394742161035539,-1.9657502934336661
1,75,17098,-114.01903377193958,74,10.520295926502772,0.04907313207484255,3,17098,1000000,-1.9350324298654284,-1.9338603854179381,-1.9957004740834237
1,76,17152,-111.59897057432681,54,13.390845487117767,0.04877619852848125,3,17152,1000000,-2.271036612987518,-2.2931074035167693,-2.3283934384584426
1,77,17225,-110.4253625785932,73,13.345300819192614,0.04852080955656607,3,17225,1000000,-2.012926763721875,-1.9912439259035246,-2.04711758941412
