seed,episode,total_steps,reward,episode_length,td_loss_avg,model_loss_avg,horizon_length,real_buffer_size,model_buffer_size,q1_avg,q2_avg,target_q_avg,model_pred_error_avg,model_err_hull_angle,model_err_hull_angvel,model_err_vel_x,model_err_vel_y,model_err_hip1_angle,model_err_hip1_speed,model_err_knee1_angle,model_err_knee1_speed,model_err_left_contact,model_err_hip2_angle,model_err_hip2_speed,model_err_knee2_angle,model_err_knee2_speed,model_err_right_contact
1,1,55,-102.73534863092937,55,nan,nan,0,55,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,1655,-80.87660176120698,1600,nan,nan,0,1655,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,3,1781,-117.52048039902002,126,nan,nan,0,1781,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,4,1843,-104.61776695400476,62,nan,nan,0,1843,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,5,1898,-105.95644953660667,55,nan,nan,0,1898,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,6,1983,-100.89164733886719,85,nan,nan,0,1983,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,7,2070,-100.3874966436997,87,nan,nan,0,2070,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,8,2138,-116.25349200237542,68,nan,nan,0,2138,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,9,2226,-98.268884412013,88,nan,nan,0,2226,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,10,2278,-113.1024498604238,52,nan,nan,0,2278,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,11,2339,-98.3343669436872,61,nan,nan,0,2339,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,12,3939,-84.24802229448687,1600,nan,nan,0,3939,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,13,4011,-102.4682834520936,72,nan,nan,0,4011,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,14,4075,-102.94966393522918,64,nan,nan,0,4075,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,15,5675,-76.2232716626022,1600,nan,nan,0,5675,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,16,5736,-114.95737141370773,61,nan,nan,0,5736,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,17,7336,-82.17792337166611,1600,nan,nan,0,7336,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,18,7401,-100.45274018123746,65,nan,nan,0,7401,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,19,7499,-98.43630150752142,98,nan,nan,0,7499,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,20,9099,-88.47240416379645,1600,nan,nan,0,9099,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,21,10151,-173.65534149087034,1052,14.469793926502268,nan,0,10151,0,-0.23918958704918622,-0.23544988219936688,-0.3114936140179634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,22,10547,-131.38965067546815,396,67.27568229568692,0.2016682305651852,1,10547,15360,-0.7722901278342574,-0.7823234449737729,-1.0008435874986343,0.615214458168155,0.028102705255150795,0.018421003594994545,0.01824951358139515,0.019009822979569435,0.01940346695482731,0.08760431408882141,0.03576187789440155,0.2008039951324463,0.12000647187232971,0.02908540703356266,0.1208372488617897,0.04637214541435242,0.4005439877510071,0.12900342047214508
1,23,11384,-179.30744958296418,837,38.10821787341531,0.1328379784415408,1,11384,30720,-1.088260150721005,-1.0974005053919482,-1.1946481607450419,1.0445982883860512,0.019624030217528343,0.01832462288439274,0.01983293704688549,0.01746515929698944,0.023374784737825394,0.3294033706188202,0.07203739136457443,0.716170072555542,0.1512269377708435,0.020616183057427406,0.1652631312608719,0.05559384450316429,0.5113915801048279,0.13504096865653992
1,24,12984,-113.89918185549323,1600,12.947452569799498,0.09489786188033494,1,12984,46080,0.07415820462396368,0.07414672899176367,0.030057402156526223,0.827242818431308,0.01845531538128853,0.02153465338051319,0.01610172539949417,0.012355434708297253,0.011183508671820164,0.16269391775131226,0.07144024223089218,0.5419988632202148,0.20123659074306488,0.016308002173900604,0.27017903327941895,0.04980028048157692,0.41177529096603394,0.1600821316242218
1,25,13253,-122.25841630902141,269,8.32224605679512,0.07783263953526814,1,13253,61440,0.40483110612974715,0.4106549319596245,0.3592553749107398,0.9460181290332269,0.025893352925777435,0.022433828562498093,0.016748931258916855,0.02058306150138378,0.044158320873975754,0.19975775480270386,0.0722787082195282,0.5772615075111389,0.22136105597019196,0.023181695491075516,0.18624378740787506,0.054082099348306656,0.3970935046672821,0.23989760875701904
1,26,14183,-168.83677100064233,930,10.072580834133651,0.07477828605112687,1,14183,76800,0.6450264838313864,0.6445526368555523,0.6098034305758374,0.5788820517426324,0.016498161479830742,0.012610425241291523,0.013913107104599476,0.014192081056535244,0.02546360343694687,0.12770436704158783,0.03116241656243801,0.21634460985660553,0.24763894081115723,0.017198465764522552,0.14658677577972412,0.03772981837391853,0.24715381860733032,0.14533312618732452
1,27,14406,-126.31530953105539,223,12.23993977220221,0.0706016317326011,1,14406,92160,0.9530859341167591,0.9531708684834567,0.9214995992623947,0.8939927222571924,0.022505253553390503,0.022220201790332794,0.017522819340229034,0.025017429143190384,0.04542349651455879,0.22321633994579315,0.053950365632772446,0.4343853294849396,0.24893347918987274,0.022475723177194595,0.2682935893535614,0.061420321464538574,0.370160847902298,0.24072308838367462
1,28,14464,-111.18493095599115,58,12.778088884949684,0.06940335561299608,1,14464,107520,1.007862207889557,1.0152303993701934,0.9531751334667206,0.8054493564641338,0.022592298686504364,0.027555156499147415,0.022117475047707558,0.027654659003019333,0.040020901709795,0.22030197083950043,0.05510381981730461,0.3152349293231964,0.20672164857387543,0.0356634296476841,0.28735506534576416,0.08045151084661484,0.37741509079933167,0.2411864697933197
1,29,14680,-122.3285549134016,216,14.386237900171961,0.06837136970744247,1,14680,122880,1.0166713737306141,1.00418457215031,0.9750373406069619,0.9199572493218713,0.028074566274881363,0.01950843073427677,0.01691237837076187,0.02204926870763302,0.043461352586746216,0.20279839634895325,0.04737803712487221,0.3770248293876648,0.2894764244556427,0.024324361234903336,0.2973870635032654,0.07380836457014084,0.4621354341506958,0.22207681834697723
1,30,14719,-110.39739007502794,39,20.46772770782312,0.06751771891239093,1,14719,138240,1.0193299675981204,0.9977811150252819,0.9227563497920831,0.8981911934848525,0.04393961280584335,0.01881331205368042,0.01572689786553383,0.027652878314256668,0.059472694993019104,0.2917290925979614,0.09095513075590134,0.4760361611843109,0.20914936065673828,0.04071042314171791,0.25361451506614685,0.07550441473722458,0.36657923460006714,0.14413489401340485
1,31,14790,-112.70985769946128,71,13.021088090964726,0.06675677544802253,1,14790,153600,0.9804167237664972,0.9514985476221357,0.9103174997227532,0.8784630336392094,0.029285870492458344,0.019357340410351753,0.015515938401222229,0.021951774135231972,0.055303219705820084,0.25604018568992615,0.06769074499607086,0.3999505639076233,0.2390924096107483,0.0317070372402668,0.2643461227416992,0.06946372240781784,0.4075891971588135,0.17243315279483795
1,32,14946,-100.24159090279136,156,15.144282333453496,0.06610856139433315,1,14946,168960,1.0941302824641268,1.0970586463809013,1.0560764279961585,0.7632700704101824,0.025955215096473694,0.013174938969314098,0.013579967431724072,0.015937019139528275,0.04258938506245613,0.20260746777057648,0.04642147570848465,0.3378688395023346,0.27462905645370483,0.023936884477734566,0.2171069234609604,0.05387751758098602,0.29490339756011963,0.20984429121017456
1,33,15213,-122.6728212214075,267,16.151835955564792,0.06531300762261467,1,15213,184320,1.0588666578611503,1.0578085388701695,1.0089577005459711,0.7794271072793693,0.019692394882440567,0.014107812196016312,0.011761868372559547,0.013741831295192242,0.031115146353840828,0.21813495457172394,0.040069323033094406,0.23796920478343964,0.2641352117061615,0.027919866144657135,0.17536485195159912,0.05003850907087326,0.46117234230041504,0.18482130765914917
1,34,16813,-91.72410171828233,1600,12.247563118571415,0.0644438529502874,1,16813,199680,1.5671601459709927,1.568733007379342,1.5259830232011153,0.6102561044072111,0.010015367530286312,0.017246626317501068,0.009630116634070873,0.009866944514214993,0.013522126711905003,0.14344510436058044,0.03444516286253929,0.25190410017967224,0.2398861050605774,0.016885563731193542,0.18383733928203583,0.029911324381828308,0.1879682093858719,0.26062002778053284
1,35,18413,-71.12958143861033,1600,8.835097424145788,0.06061153097030444,1,18413,215040,2.965694448184222,2.970570421516895,2.93407840013504,0.5038936831864218,0.011732893995940685,0.011970553547143936,0.012096715159714222,0.01099329348653555,0.014131461270153522,0.12074381858110428,0.027272233739495277,0.20425675809383392,0.25002190470695496,0.01297231949865818,0.14458222687244415,0.0374760739505291,0.12531478703022003,0.17415618896484375
1,36,20013,-66.51248492952436,1600,6.628540417440235,0.05662154580855593,1,20013,230400,4.507664532288909,4.510029397681356,4.485503303036094,0.42578319376955437,0.008926188573241234,0.011160608381032944,0.01043157372623682,0.00914549920707941,0.011887184344232082,0.10648883879184723,0.023232173174619675,0.2096106857061386,0.20833061635494232,0.009036566130816936,0.08082334697246552,0.026778077706694603,0.07398862391710281,0.17722845077514648
1,37,20156,-96.38540176209062,143,5.418175231984684,0.052665235847234725,1,20156,245760,5.533960436071668,5.535919633933476,5.500714543887547,0.7969399859785754,0.02245434746146202,0.017131222411990166,0.01359593030065298,0.01695089228451252,0.03410455211997032,0.2598504424095154,0.058290306478738785,0.41455623507499695,0.2315720021724701,0.02625989355146885,0.20839375257492065,0.04086792469024658,0.2403889298439026,0.18142543733119965
1,38,20270,-100.14470159914345,114,5.994181247190996,0.052127926752098604,1,20270,261120,5.69370654929768,5.685114760832353,5.663055014610291,0.7528680902388363,0.03159903362393379,0.017152441665530205,0.013587125577032566,0.01627996936440468,0.03346758335828781,0.2624579966068268,0.058900196105241776,0.4217562675476074,0.21136651933193207,0.029150566086173058,0.19866782426834106,0.039217110723257065,0.20655150711536407,0.1418866515159607
1,39,20353,-103.13554190844297,83,6.514583970606327,0.051681701471156714,1,20353,276480,5.703708082437515,5.709612250328064,5.673088949918747,0.7976245178755028,0.034059882164001465,0.01954389549791813,0.012143399566411972,0.020190030336380005,0.040371645241975784,0.26948878169059753,0.06118382140994072,0.4005923867225647,0.17289003729820251,0.03784503787755966,0.24481379985809326,0.048952773213386536,0.2577100694179535,0.2424372285604477
1,40,20441,-100.74862040486187,88,6.992100213095545,0.05130491880739289,2,20441,307200,5.663367030024529,5.672434350848198,5.647525987029075,0.8164280776047345,0.03055083192884922,0.0209592804312706,0.014953580684959888,0.01872413605451584,0.03542143851518631,0.28473326563835144,0.060056086629629135,0.40180084109306335,0.20291295647621155,0.03724833205342293,0.26346153020858765,0.04590268433094025,0.2517048716545105,0.18601490557193756
1,41,20519,-103.71664400584996,78,7.3406932017632895,0.0509316956034944,2,20519,337920,5.586942802156721,5.6003895248685565,5.5671345267977035,0.8468304570668783,0.039310991764068604,0.018531421199440956,0.01405329443514347,0.020074857398867607,0.03705266863107681,0.295923113822937,0.05695163458585739,0.39714574813842773,0.25144630670547485,0.042791955173015594,0.25830942392349243,0.052275724709033966,0.27351224422454834,0.17796453833580017
1,42,20595,-101.01939680799842,76,6.466118081126894,0.05060197465121746,2,20595,368640,5.577040416853769,5.577062208311898,5.544168509755816,0.7328144649141715,0.03869887441396713,0.01783105917274952,0.013003205880522728,0.019050225615501404,0.034911882132291794,0.2646730840206146,0.05792394280433655,0.37675848603248596,0.14574630558490753,0.03638870641589165,0.22191502153873444,0.049368277192115784,0.2557991147041321,0.1522277444601059
1,43,20725,-103.72922843601555,130,5.899335893988609,0.050215901142607135,2,20725,399360,5.740360938585722,5.734964959438031,5.718348651665908,0.8420004428197175,0.026889869943261147,0.01936761662364006,0.01332777924835682,0.016829444095492363,0.036674316972494125,0.28825563192367554,0.06384921073913574,0.43905094265937805,0.18586422502994537,0.0367988720536232,0.25691545009613037,0.04487733170390129,0.29131701588630676,0.1954968422651291
1,44,20816,-99.66097449697554,91,5.7703389022085405,0.04995466940725843,2,20816,430080,5.744268118010627,5.752600259251064,5.728597733709547,0.7647946051734709,0.03273913636803627,0.01715724542737007,0.013937379233539104,0.019607404246926308,0.028817545622587204,0.2092011272907257,0.05526481196284294,0.37332865595817566,0.17978836596012115,0.03857925534248352,0.27328890562057495,0.04098451882600784,0.24368594586849213,0.18850819766521454
1,45,20908,-100.952587492764,92,6.388095429870817,0.04961644343020004,2,20908,460800,5.7199679639604355,5.725233562787374,5.680655770831638,0.6795339934203936,0.030714770779013634,0.01713196560740471,0.013870934024453163,0.015958910807967186,0.02975974977016449,0.21234752237796783,0.05234134569764137,0.3307298719882965,0.1568964719772339,0.027265409007668495,0.19697771966457367,0.03693762421607971,0.19763046503067017,0.18296942114830017
1,46,21073,-104.31335330940783,165,6.2636647209525105,0.049256410262712234,2,21073,491520,5.742719614505768,5.733017359673977,5.717040158808231,0.7029055476790728,0.02025962807238102,0.01713462732732296,0.013113495893776417,0.016322003677487373,0.03358358144760132,0.253961443901062,0.05485875532031059,0.3566359579563141,0.15651322901248932,0.026494473218917847,0.21784085035324097,0.03284979984164238,0.19356459379196167,0.15533208847045898
1,47,21172,-101.03366631641984,99,5.738173091742728,0.04889846392036454,2,21172,522240,5.730120078722636,5.7295832395553585,5.7028366194831,0.680051128872316,0.022946972399950027,0.015192565508186817,0.01218776497989893,0.017505601048469543,0.025902749970555305,0.18570886552333832,0.05687747523188591,0.3478212356567383,0.13571684062480927,0.02788539044559002,0.2065509408712387,0.03932594880461693,0.18956147134304047,0.2124381959438324
1,48,21248,-103.28977921744809,76,6.599226036242077,0.048526365443216105,2,21248,552960,5.818032670021057,5.827568135942731,5.803777820723397,0.7345775658624213,0.03051735833287239,0.01778358593583107,0.01525178737938404,0.018191779032349586,0.027857432141900063,0.1905713975429535,0.048628196120262146,0.2724722921848297,0.16604241728782654,0.03727477788925171,0.27229049801826477,0.05045120790600777,0.2700668275356293,0.23087647557258606
