episode,total_steps,eval_reward_avg,ep_steps,reward,env_return,nominal_error_avg,residual_error_avg,dhat_norm_avg,uncertainty_avg,res_net_loss,rbf_loss,td_loss_avg,buffer_uncert_avg,sampled_uncert_avg,fresh_uncert_avg,rollout_uncert_avg,rollout_pass_rate,rollout_avg_horizon
1,12,nan,12,7.1714586317539215,7.178066879392774,1.3147636651992798,1.3147636651992798,1.1832871437072754,1.3147636651992798,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,27,nan,15,12.906934604048729,12.901661151016095,1.3436113595962524,1.3436113595962524,1.2092500925064087,1.3436113595962524,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,49,nan,22,12.234317243099213,12.239092559718769,1.5217715501785278,1.5217715501785278,1.3695942163467407,1.5217715501785278,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,57,nan,8,4.081229507923126,4.094167353967638,1.5920236110687256,1.5920236110687256,1.4328211545944214,1.5920236110687256,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,89,nan,32,25.80995410680771,25.827981099900246,1.393749713897705,1.393749713897705,1.254374623298645,1.393749713897705,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,111,nan,22,20.369100496172905,20.381400454780167,1.5526410341262817,1.5526410341262817,1.3973770141601562,1.5526410341262817,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,124,nan,13,10.259071949869394,10.26450756215924,1.4770150184631348,1.4770150184631348,1.3293133974075317,1.4770150184631348,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,135,nan,11,6.944532066583633,6.954511928608771,1.4207496643066406,1.4207496643066406,1.2786747217178345,1.4207496643066406,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,184,nan,49,43.02376825362444,43.028056209075004,1.4416742324829102,1.4416742324829102,1.2975068092346191,1.4416742324829102,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,200,nan,16,10.843697413802147,10.83864490310349,1.620896816253662,1.620896816253662,1.4588069915771484,1.620896816253662,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,213,nan,13,9.514050424098969,9.532247190912207,1.523322582244873,1.523322582244873,1.37099027633667,1.523322582244873,nan,nan,nan,nan,nan,nan,nan,nan,nan
